veliplanchiste,"{véliplanchiste} n. m. et f.\nPersonne qui fait de la planche à voile."												
vraiment,"adv.\nVéritablement. Elles sont vraiment gentilles, ces bibliothécaires. \nNote.- Attention à l'orthographe: vraiment."												
vraisemblable,"adj. et n. m.\n Adjectif \n- Qui semble vrai, probable. Des hypothèses vraisemblables.\n- Il est vraisemblable que + indicatif. À la forme affirmative, l'expression se construit avec l'indicatif ou le conditionnel pour exprimer une hypothèse. Il est vraisemblable qu'il sera élu si la participation est élevée.\n- Il n'est pas vraisemblable que + subjonctif. À la forme négative ou interrogative l'expression se construit avec le subjonctif. Il n'est pas vraisemblable qu'il soit parti sans nous prévenir.\n Nom masculin Le vraisemblable et l'invraisemblable."												
vraisemblablement,"adv.\nSans doute."												
vraisemblance,"n. f.\nApparence de vérité. \nNote.- Attention à l'orthographe: vraisemblance."												
vraquier,"n. m.\nNavire servant au transport des produits en vrac. \nNote.- Attention à l'orthographe: vraquier."												
vrille,"n. f.\n Organe de certaines plantes telle la vigne qui s'enroule en hélice autour des tuteurs, des branches.\n Petite mèche servant à faire des trous.\n Descente en vrille. Chute d'un avion qui fonce vers le sol en tournant sur lui-même."												
vriller,"v. tr., intr.\n Transitif. Trouer avec une vrille. Vriller un madrier.\n Intransitif. Se déplacer en formant une vrille, une hélice. Un avion qui vrille."												
vrombir,"v. intr.\nProduire un vrombissement. L'avion vrombissait (et non * vombrissait) déjà. \nNote.- Attention à l'orthographe: vrombir."												
vrombissement,"n. m.\nVibration produite par un mouvement de rotation rapide."												
vu,"n. m. et prép.\n Nom masculin Au vu et au su de tous. À la connaissance de tout le monde, au grand jour. \nNote.- Le nom ne s'emploie que dans l'expression citée. \nAnt. insu de (à l').\n Préposition Étant donné, eu égard à. Employé en tête de phrase, devant le nom, sans auxiliaire, le mot vu est invariable. Vu leurs bonnes intentions, nous acceptons.\n Vu que, locution conjonctive. Étant donné que, attendu que. La locution se construit avec l'indicatif ou le conditionnel. Vu que nous avons quelques jours, nous en profiterons pour nous reposer."												
vue,"n. f.\n Faculté de voir. Elle a une bonne vue.\n Étendue de ce que l'on peut voir d'un point. Une vue superbe sur la mer.\n Manière dont une chose se voit. Une vue de profil.\n Idée. Ce n'est qu'une vue de l'esprit.\n Locutions \n- À vue, locution adverbiale. (Fin.) À la première présentation. Un dépôt, une traite à vue.\n- À perte de vue, locution adverbiale. Aussi loin qu'on puisse voir.\n- À première vue, locution adverbiale. Apparemment, dès le premier coup d'oeil.\n- À vue de nez, locution adverbiale. (Fam.) Approximativement.\n- À vue d'oeil, locution adverbiale. Sensiblement, très vite. Les enfants changent à vue d'oeil.\n- De vue, locution adverbiale. Par la vue. Elle le connaît de vue simplement.\n- En vue. Connu. Des personnes en vue.\n- En vue de, locution prépositive. Afin de."												
vulgaire,"adj. et n. m.\n Adjectif \n- Trivial, commun. Des paroles vulgaires.\n- Nom vulgaire. Désignation courante. Le mot gueule-de-loup est le nom vulgaire du muflier des jardins.\nNote.- En ce sens, l'adjectif ne comporte aucune connotation péjorative.\n Nom masculin. (Litt.) Ce qui est vulgaire, le commun des hommes. \nNote.- Attention à l'orthographe de cet adjectif qui conserve la même forme au masculin et au féminin: vulgaire."												
vulgairement,"adv.\nD'une manière vulgaire."												
vulgarisateur,", trice  adj. et n. m. et f.\n Adjectif. Propre à vulgariser (des connaissances).\n Nom masculin et féminin. Spécialiste de la vulgarisation scientifique. Hubert Reeves est un remarquable vulgarisateur."												
vulgarisation,"n. f.\nAction de vulgariser des connaissances techniques. La vulgarisation scientifique."												
vulgariser,"v. tr.\nMettre à la portée de tous une science, un art."												
vulgarité,"n. f.\nDéfaut d'une personne, d'une chose vulgaire. Elle ne peut tolérer sa vulgarité."												
vulnérabilité,"n. f.\nCaractère de ce qui est vulnérable."												
vulnérable,"adj.\n Qui peut être touché, blessé, fragile. Un point vulnérable.\n Qui peut être attaqué, discuté. Un témoignage vulnérable."												
vulvaire,"adj.\nRelatif à la vulve. \nNote.- Attention à l'orthographe de cet adjectif qui conserve la même forme au masculin et au féminin: vulvaire."												
vulve,"n. f.\nPartie externe des organes génitaux de la femme et des femelles de mammifères."												
W," Symbole de watt.\n Symbole de tungstène."												
wagon,"n. m.\n Véhicule ferroviaire. Des wagons réfrigérés, des wagons de marchandises, de bestiaux.\nNote.- Dans la langue des chemins de fer, le wagon sert au transport des marchandises, des animaux, tandis que la voiture sert au transport des personnes. Dans la langue courante cependant, le mot wagon s'emploie de plus en plus pour désigner tout véhicule ferroviaire.\n Wagon-citerne, wagon-lit, wagon-restaurant. Ces mots mis en apposition prennent la marque du pluriel aux deux éléments et sont joints par un trait d'union. Des wagons-citernes, des wagons-lits, des wagons-restaurants.\nNote.- Les termes officiels de wagon-lit et de wagon-restaurant sont voiture-lit et voiture-restaurant."												
wagonnée,"n. f.\n Contenu d'un wagon."												
wagonnet,"n. m.\n Petit wagon servant au transport des minerais."												
walkman,"n. m.\n (Anglicisme) Baladeur. Des walkmans.\nNote.- Le nom baladeur a fait l'objet d'une recommandation officielle pour remplacer cet anglicisme."												
wallon,", onne  adj. et n. m. et f.\n De la Wallonie (sud de la Belgique).\n Nom masculin. Dialecte parlé dans cette partie de la Belgique.\nNote.- Lorsqu'il s'agit de la langue, l'adjectif ou le nom s'écrit avec une minuscule. Si le nom désigne une personne, la majuscule s'impose."												
wapiti,"n. m.\n Mot algonquin signifiant ""daim blanc"".\n Grand cerf du Canada et de la Sibérie. Des wapitis aux tons fauves."												
warrant,"n. m.\n Récépissé délivré lors d'un dépôt de marchandises et qui est négociable comme une lettre de change. Des warrants industriels."												
water-closet,"n. m. ou \nwaters n. m. pl.\n Abréviation W.-C. (s'écrit avec des points).\n Toilettes. Des water-closets."												
water-polo,"n. m.\n Sport d'équipe qui se joue dans l'eau. Des water-polos."												
watt,"n. m.\n Symbole W (s'écrit sans point).\n Unité de puissance électrique. Cette ampoule est de 50 watts, de 50 W	 est-ce que cela suffira?\nNote.- Attention à l'orthographe: watt."											
wattheure,"n. m.\n Symbole Wh (s'écrit sans point).\n Unité de travail et d'énergie correspondant à l'énergie de 1 watt pendant 1 heure."												
wattmètre,"n. m.\nAppareil de mesure des puissances électriques."												
W.-C.  n. m. pl.," Abréviation de water-closet. Où sont les W.-C.?"												
week-end,"n. m.\n Congé du samedi et du dimanche. Ils partent à la campagne tous les week-ends."												
western,"n. m.\n Film d'aventures se déroulant lors de la conquête de l'Ouest de l'Amérique. D'excellents westerns.\n Western-spaghetti. Western italien."												
Wh,"Symbole de wattheure."												
whisky,", ies  n. m.\n Eau-de-vie d'origine écossaise obtenue par la distillation de grains (orge, avoine, seigle). Des whiskies avec des glaçons.\nNote.- Attention à l'orthographe: un whisky, des whiskies."												
whist,"n. m.\n (Hist.) Jeu de cartes, ancêtre du bridge."												
won,"n. m.\nUnité monétaire de la Corée. Des wons."												
X," Chiffre romain dont la valeur est de 10. \n S'emploie pour désigner une personne qu'on ne veut ou ne peut pas nommer. Monsieur X."												
Xe,"Symbole de xénon."												
xen(o)-,"{xén(o)-} préf.\n Élément du grec signifiant ""étranger"".\n Les mots composés avec le préfixe xéno- s'écrivent en un seul mot. Xénophobie."												
xenon,"{xénon} n. m.\n Symbole Xe (s'écrit sans point).\n Gaz inerte."												
xenophobe,"{xénophobe} adj. et n. m. et f.\n Qui est hostile aux étrangers, à ce qui vient de l'étranger. Ils ne sont pas xénophobes. Un xénophobe irréductible.\nNotes.- \n1  Attention à l'orthographe: xénophobe.\n2  Ne pas confondre avec le mot raciste qui se dit de ce qui est hostile à certains groupes raciaux."												
xenophobie,"{xénophobie} n. f.\n Haine des étrangers, de ce qui est étranger.\nNotes.- \n2  Le mot xénophobie désigne la haine de tous les étrangers, alors que le mot racisme dénomme une hostilité à l'égard de certains groupes raciaux."												
xeres,"{xérès} ou jerez n. m.\n Vin blanc sec de la région de Jerez, en Espagne. Je boirais bien du xérès.\nNotes.- \n1  Attention à l'orthographe: xérès.\n2  Le nom du vin s'écrit avec une minuscule."												
xi,"n. m. inv.\nLettre grecque."												
X (rayons),"Radiations électromagnétiques. Les radiographies sont prises à l'aide des rayons X. \nNote.- Dans cette expression, la lettre x s'écrit toujours en majuscule."												
xylophone,"n. m.\n Instrument de musique composé de lamelles de bois de longueur décroissante sur lesquelles on frappe avec des baguettes.\nNote.- Attention à l'orthographe: xylophone."												
y,"Devant la plupart des mots commençant par y, l'élision ou la liaison ne se fait pas. Le / yaourt, le / yacht. \nNote.- Dans cet ouvrage, les mots étrangers empêchant l'élision de la voyelle qui précède, ou la liaison entre deux mots sont suivis de la mention (y aspiré). Seuls quelques mots français commençant par y permettent l'élision ou la liaison. L'yeuse, les(z)yeux. J'y."												
y,"adv. et pron. pers.\nAdverbe de lieu En cet endroit-là. Allez-vous là-bas? J'y vais. J'y suis, j'y reste. Pronom personnel \n À lui, à elle, à eux, à elles. Cette personne a un bon jugement	 vous pouvez vous y fier.\n À cela. La recherche a été définie en 1985 et ils y travaillent depuis deux ans. C'est terminé: je ne peux y croire.\n Impératif + y. Placé après un impératif se terminant par une voyelle (a, e), le y exige l'addition d'un s euphonique aux verbes qui n'en comportent pas. Penses-y. Vas-y.\nNote.- Le pronom y se place après l'autre pronom. Dirige-nous-y.\n Locutions \n- Il y a, locution verbale. Il existe. Nous irons manger là où il y a une tonnelle fleurie.\n- Il y va de, locution verbale. Telle chose en dépend. Il y va de notre succès.\n- Ça y est! Locution verbale qui marque l'accomplissement d'un souhait, la fin d'une activité, etc. Ça y est! Il arrive.\nNote.- L'élision et la liaison se font avec ce mot."											
yacht,"n. m. (y aspiré)\n Navire de plaisance. Des yachts luxueux."												
yack,"ou yak n. m. (y aspiré)\nRuminant à longue toison, voisin du buffle et qui vit au Tibet."												
yang,"n. m. (y aspiré)\nCatégorie essentielle de la pensée taoïste chinoise, correspondant au mouvement. Le yin et le yang. \nAnt. yin."												
yaourt,"ou yog(h)ourt n. m. (y aspiré)\n Lait caillé ayant subi une fermentation particulière. Des yaourts aux fraises.\nNote.- La graphie yaourt est la plus courante."												
yaourtière,"n. f. (y aspiré)\nAppareil servant à préparer les yaourts."												
yen,"n. m. (y aspiré)\n Unité monétaire du Japon. Des yens."												
yeti,"n. m. (y aspiré)\nCréature fabuleuse de l'Himalaya surnommée ""l'abominable homme des neiges"". Des yetis imaginaires. \nNote.- Attention à l'orthographe: yeti, sans accent."												
yeuse,"n. f.\nChêne vert. À l'ombre de l'yeuse. \nNote.- L'élision et la liaison se font avec ce nom."												
yeux,"n. m. pl.\nDes yeux verts. \nNote.- La liaison se fait avec ce nom. \nV. oeil."												
ye-yé,"{yé-yé} adj. et n. m. et f. inv. (y aspiré)\nSe dit d'un style de chanson à la mode au début des années soixante. Le yé-yé est-il démodé?"												
yiddish,"adj. inv et n. m. (y aspiré)\nLangue germanique des Juifs de l'Europe centrale. Il parle le yiddish. L'écriture yiddish. \nNotes.- \n1  Attention à l'orthographe: yiddish.\n2  Les noms de langues s'écrivent avec une minuscule."												
yin,"n. m.\nCatégorie essentielle de la pensée taoïste chinoise correspondant à la passivité. Le yin et le yang. \nAnt. yang."												
yod,"n. m. (y aspiré)\n(Phonét.) Nom du son transcrit i (panier), y (oyez), il (vermeil), ille (taille)."												
yoga,"n. m. (y aspiré)\nDiscipline spirituelle et corporelle qui vise à libérer l'esprit par la parfaite maîtrise du corps. Faire du yoga."												
yog(h)ourt,"V. yaourt."												
yogi,"n. m. (y aspiré)\nPersonne pratiquant le yoga."												
yole,"n. f. (y aspiré)\nEmbarcation allongée propulsée à l'aviron."												
yougoslave,"adj. et n. m. et f. (y aspiré)\nDe la Yougoslavie. \nNote.- Contrairement à l'adjectif, le nom prend une majuscule."												
yo-yo,"n. m. inv. (y aspiré) (n. déposé)\nJouet que l'on fait monter et descendre le long d'un fil enroulé. Des yo-yo lumineux."												
yuan,"n. m.\nUnité monétaire de la République populaire de Chine. Des yuans."												
yucca,"n. m. (y aspiré)\n Plante ornementale ressemblant à l'aloès. Des yuccas géants."												
zaire,"{zaïre} n. m.\nUnité monétaire du Zaïre. Des zaïres."												
zairois,"{zaïrois} , oise  adj. et n. m. et f.\nDu Zaïre. \nNote.- Contrairement à l'adjectif, le nom prend une majuscule."												
zambien,", ienne  adj. et n. m. et f.\nDe la Zambie. \nNote.- Contrairement à l'adjectif, le nom prend une majuscule."												
zebre,"{zèbre} n. m.\nMammifère ongulé voisin du cheval et dont la robe claire est marquée de bandes foncées. Le zèbre hennit."												
zebrer,"{zébrer} v. tr.\n Le é se change en è devant une syllabe muette, sauf à l'indicatif futur et au conditionnel présent. Je zèbre, mais je zébrerai.\n Marquer de bandes foncées. Un tissu zébré."												
zebrure,"{zébrure} n. f.\nRayure."												
zebu,"{zébu} n. m.\nType de boeuf de grande taille possédant une bosse sur le dos. Des zébus."												
zele,"{zèle} n. m.\n Empressement pour une cause, une personne.\n Faire du zèle. Affecter un dévouement excessif.\nNote.- Attention à l'orthographe: zèle."												
zele,"{zélé} , ée  adj.\nQui fait preuve de zèle. Un travailleur zélé. \nNote.- Attention à l'orthographe: zélé."												
zen,"adj. inv. et n. m.\n Adjectif. Relatif au zen.\n Nom masculin. École bouddhiste."												
zenith,"{zénith} n. m.\n Point du ciel situé sur la verticale ascendante (par opposition à nadir).\n (Fig.) Le plus haut degré que l'on puisse atteindre. Il est au zénith du pouvoir.\nNote.- Attention à l'orthographe: zénith. \nAnt. nadir."												
zephyr,"{zéphyr} n. m.\n(Litt.) Brise légère. \nNote.- Attention à l'orthographe: zéphyr."												
zero,"{zéro} adj. num. inv. et n. m.\n Adjectif numéral cardinal. Aucun. Elle a fait zéro faute d'orthographe. Le prix est de zéro franc quarante.\n Nom masculin \n- Valeur nulle d'une grandeur. La réponse est zéro. Des zéros de conduite. Il fait 15 °C au-dessous de zéro.\nNote.- Le nom prend la marque du pluriel.\n- Signe numérique en forme de 0 qui représente le chiffre 0. Des zéros en lettres lumineuses."												
zeste,"n. m.\nÉcorce d'un fruit. Un zeste de citron. \nNote.- Attention à l'orthographe: zeste."												
zeta,"{zêta} ou dzêta n. m. inv.\nLettre grecque."												
zeugma,"ou zeugme n. m.\nProcédé de style, construction qui consiste à lier des mots ou des groupes de mots de façon qu'il soit inutile de répéter un mot ou un groupe de mots déjà exprimés dans une proposition voisine. \nNote.- Attention aux zeugmas fautifs qui comportent des compléments qui ne se construisent pas avec la même préposition. * Il est allé et revenu de Lyon en quatre heures pour Il est allé à Lyon et en est revenu en quatre heures."												
zezaiement,"{zézaiement} n. m.\nAction de zézayer. \nNote.- Attention à l'orthographe: zézaiement."												
zezayer,"{zézayer} v. intr.\n Le y se change en i devant un e muet. Il zézaie, il zézayait.\n Le y est suivi d'un i à la première et à la deuxième personne du pluriel de l'indicatif imparfait et du subjonctif présent. (Que) nous zézayions.\n Prononcer z au lieu de j. Cet enfant zézaie un peu."												
zibeline,"n. f.\nMammifère carnivore de Sibérie apprécié pour sa fourrure très fine."												
zigzag,"n. m.\nSuccession d'angles rentrants et saillants. La route fait des zigzags. \nNote.- Attention à l'orthographe: zigzag, en un seul mot."												
zigzagant,", ante  adj.\nQui marche en zigzag, qui forme des zigzags. Des cheminements zigzagants. \nNote.- Ne pas confondre avec le participe présent invariable zigzaguant. Ils roulaient en zigzaguant."												
zigzaguer,"v. intr.\n Attention au u qui subsiste même devant les lettres a et o. Il zigzagua, nous zigzaguons.\n Faire des zigzags en avançant. Cette voiture zigzaguait."												
zinc,"n. m.\n Symbole Zn (s'écrit sans point).\n Métal dur d'un blanc bleuâtre.\n (Fam.) Comptoir d'un café. Prendre un sandwich et une bière sur le zinc."												
zinnia,"n. m.\nPlante ornementale. Des zinnias colorés. \nNote.- Attention au genre masculin de ce nom: un zinnia."												
zip,"n. m. (n. déposé)\n(Anglicisme) Fermeture à glissière."												
zircon,"n. m.\nPierre précieuse qui ressemble au diamant."												
zizanie,"n. f.\n Discorde.\n Semer la zizanie. Susciter des discussions, des querelles.\nNote.- Attention à l'orthographe: zizanie."												
zloty,"n. m.\nUnité monétaire de la Pologne. Des zlotys."												
Zn,"Symbole de zinc."												
zodiacal,", ale, aux  adj.\nRelatif au zodiaque. Les signes zodiacaux."												
zodiaque,"n. m.\n Zone de la sphère terrestre.\n Zone divisée en douze parties égales correspondant aux signes du zodiaque.\nNote.- Les noms d'astres, de constellations s'écrivent avec une majuscule. Bélier, Taureau, Gémeaux, Cancer, Lion, Vierge, Balance, Scorpion, Sagittaire, Capricorne, Verseau, Poissons. \nV. astre."												
zona,"n. m.\nMaladie virale caractérisée par des éruptions cutanées rougeâtres sur le trajet des nerfs sensitifs."												
zonage,"n. m.\nRépartition d'un territoire en zones selon des critères particuliers (utilisation du sol, construction immobilière, activité industrielle ou commerciale). Le zonage agricole."												
zone,"n. f.\n Portion de territoire, région. Une zone tropicale, littorale.\n Espace. Une zone militaire, une zone de libre-échange.\n Domaine. Des zones d'influence, une zone d'activité.\n Zone franche. Zone où les marchandises sont exemptées de droits de douane.\nNote.- Attention à l'orthographe: zone, sans accent circonflexe."												
zoner,"v. tr.\nFaire le zonage de. \nNote.- Attention à l'orthographe: zoner, sans accent circonflexe."												
zoo,"n. m.\n Jardin zoologique. Des zoos merveilleux pour les enfants."												
zoologie,"n. f.\n Partie des sciences naturelles qui étudie les animaux."												
zoologique,"adj.\n Relatif à la zoologie, aux animaux. Un jardin, un parc zoologique."												
zoologiste,"ou zoologue n. m. et f.\n Spécialiste de zoologie."												
zouave,"n. m.\n Soldat appartenant à certains corps. Les zouaves pontificaux.\n Faire le zouave. (Fam.) Faire des pitreries."												
zozoter,"v. intr.\n(Fam.) Zézayer. \nNote.- Attention à l'orthographe: zozoter."												
zut!,"interj.\n(Fam.) Interjection marquant la colère, le dépit. Zut! j'ai raté mon avion."												
zzz,"onomat.\nOnomatopée marquant un léger sifflement et au figuré, le sommeil."												
